Saved path: bank, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, gelateria : 62031
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, bike_shop, party_store, gym, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint : 58039
Saved path: florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, bookstore, gym, craft_shop : 50769
Saved path: toy_store, burger_joint, cafe, grocery_store, pizzeria, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon : 64144
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, noodle_house, salon, jewelry_store, bike_shop, hardware_store, gym, florist : 71882
Saved path: toy_store, tech_shop, burger_joint, gym, craft_shop, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop : 66021
Saved path: tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, salon, noodle_house : 63526
Saved path: hardware_store, gym, craft_shop, florist, music_store, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint : 48097
Saved path: salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, burger_joint, toy_store : 63384
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, burger_joint, bookstore, grocery_store, pizzeria, craft_shop : 61813
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, florist, gym, hardware_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 58426
Saved path: salon, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, craft_shop, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 69161
Saved path: party_store, jewelry_store, bakery, barber_shop, clothing_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store, florist, gym, hardware_store : 67314
Saved path: cafe, dentist, pizzeria, pet_store, gelateria, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, bookstore : 61977
Saved path: toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank, pharmacy, bike_shop, jewelry_store, salon : 61350
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, toy_store : 56180
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop : 65217
Saved path: grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop, bakery, music_store, bank, pet_store, craft_shop, dentist, tech_shop : 58276
Saved path: music_store, florist, pet_store, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank : 65969
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, bakery : 50877
